Suburb,No. of Rooms,Type of Property,Year Sold,Price,Postcode,Region Name,No. of properties in Suburb,Distance from CBD,Council for Suburb,Total population
Mulgrave,3,house,2018,0.057343332,3170,South-Eastern Metropolitan,0.2707729230334999,18.8,Monash City Council,0.2999954497660142
Thornbury,4,house,2017,0.16431668279094597,3071,Northern Metropolitan,0.33236049473935386,7,Darebin City Council,0.28732622961334014
Brunswick,3,house,2018,0.10373976976009305,3056,Northern Metropolitan,0.43095353382384194,5.2,Moreland City Council,0.3976887229067138
Mitcham,4,house,2017,0.088292607,3132,Eastern Metropolitan,0.26198500969855726,17.2,Whitehorse City Council,0.25260091771838594
Toorak,2,unit,2018,0.051293294,3142,Southern Metropolitan,0.2745259497042004,4.1,Stonnington City Council,0.21304721462456744
Oakleigh South,3,unit,2018,0.060651083,3167,South-Eastern Metropolitan,0.1387434002866786,15.5,Kingston City Council,0.18807280072998955
Maribyrnong,3,house,2017,0.066139803,3032,Western Metropolitan,0.18808744072017478,4.3,Maribyrnong City Council,0.2030529104057216
Hoppers Crossing,3,house,2017,0.045378399940741776,3029,Western Metropolitan,0.48818039721307693,18.4,Wyndham City Council,0.5199288530718802
North Melbourne,1,unit,2018,0.019158527623755115,3051,Northern Metropolitan,0.2601596587244429,1.8,Melbourne City Council,0.3535442111769105
Reservoir,3,house,2017,0.040983925,3073,Northern Metropolitan,0.6931471805599453,12,Darebin City Council,0.6495591895598463
Hawthorn East,4,house,2018,0.2730683884235444,3123,Southern Metropolitan,0.2476951164303111,6.2,Boroondara City Council,0.25024419182403235
Templestowe Lower,4,house,2017,0.096822143,3107,Eastern Metropolitan,0.2076097406784447,12.4,Manningham City Council,0.21601938649640035
Ringwood,4,house,2017,0.079107899,3134,Eastern Metropolitan,0.2947783622302237,19.9,Maroondah City Council,0.26712582948794106
Dingley Village,3,house,2018,0.061920387,3172,South-Eastern Metropolitan,0.14892327639210665,22.2,Kingston City Council,0.16459118485738053
Carnegie,2,unit,2016,0.040552053,3163,Southern Metropolitan,0.2960835,10.1,Glen Eira City Council,0.27751808362937924
Reservoir,2,townhouse,2016,0.029344776570750707,3073,Northern Metropolitan,0.6931471805599453,12,Darebin City Council,0.6418521237954418
Ashburton,4,house,2018,0.15264578864783807,3147,Southern Metropolitan,0.11198371341811048,10.2,Boroondara City Council,0.12935377952901228
South Kingsville,3,townhouse,2017,0.056408395,3015,Western Metropolitan,0.020269062,6.2,Hobsons Bay City Council,0.1530354816683025
Templestowe Lower,4,house,2016,0.079107983,3107,Eastern Metropolitan,0.2076097406784447,12.4,Manningham City Council,0.21565509514024353
Elsternwick,3,unit,2018,0.10008345855698243,3185,Southern Metropolitan,0.18730170955694084,7.2,Glen Eira City Council,0.189957633
Watsonia,3,unit,2018,0.048040145,3087,Northern Metropolitan,0.080866362,14.5,Banyule City Council,0.15017239693489617
Brighton East,3,unit,2017,0.055983135,3187,Southern Metropolitan,0.2644257679092126,10.3,Bayside City Council,0.2475028904702505
Mount Waverley,4,house,2018,0.10252248415634126,3149,Eastern Metropolitan,0.47459068479071903,14.2,Monash City Council,0.47512002190817804
Hawthorn,3,house,2017,0.12460730064009592,3122,Southern Metropolitan,0.41198471356997246,5.3,Boroondara City Council,0.3500935968301084
Brunswick,1,unit,2017,0.024440230042930774,3056,Northern Metropolitan,0.43095353382384194,5.2,Moreland City Council,0.38686521290536613
Ringwood East,4,house,2016,0.079938892,3135,Eastern Metropolitan,0.16781580619056533,21.3,Maroondah City Council,0.3030420049355027
Ringwood North,3,house,2017,0.062765696,3134,Eastern Metropolitan,0.1357270560374303,19.9,Manningham City Council,0.1557041394545643
Williamstown,4,house,2017,0.13291266774048185,3016,Western Metropolitan,0.243914113,6.8,Hobsons Bay City Council,0.24569736349870494
Mentone,4,house,2016,0.091499715,3194,South-Eastern Metropolitan,0.23578489673600536,20,Kingston City Council,0.20662697363243382
Malvern East,2,house,2016,0.11342507549455665,3145,Southern Metropolitan,0.33001207713944836,8.4,Stonnington City Council,0.3202177540338024
Mentone,3,townhouse,2017,0.063188082,3194,South-Eastern Metropolitan,0.23578489673600536,20,Kingston City Council,0.20884410356260247
Sydenham,3,house,2018,0.036223041466552225,3037,Western Metropolitan,0.1365957041034668,18,Brimbank City Council,0.19368908330284537
